Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1740149598646,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.4995040893554688,0.6607894897460938,0.70599365234375,1.517333984375,5.128791809082031,0.6970901489257813,2.0094680786132813,0.5358810424804688,0.7298431396484375,1.1066131591796875,0.9951553344726563,0.7941436767578125,24117.257568359375,27730.025451660156,124511.31359863281,6613.62841796875,17012051968,15032385536,7862599680,0
200,1740149598846,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.936981201171875,6.296058654785156,0.7589035034179688,0.965118408203125,4.03204345703125,0.8756103515625,1.22381591796875,0.60491943359375,1.4813308715820313,0.9261627197265625,1.37615966796875,0.7688140869140625,24117.386840820313,27730.439208984375,124511.47625732422,6613.62841796875,17012051968,15032385536,7862407168,0
200,1740149599047,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,9.058074951171875,0,0,0,3.3357315063476563,0,0.8375625610351563,0,1.3397369384765625,0,0,2.59869384765625,24117.520263671875,27730.95233154297,124511.7368774414,6613.6309814453125,17012051968,15032385536,7861927936,0
200,1740149599247,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,5.469017028808594,1.7659225463867188,2.415069580078125,4.842765808105469,5.926124572753906,2.2177200317382813,2.7576751708984375,2.109954833984375,2.3140335083007813,2.7722244262695313,2.47796630859375,1.9925079345703125,24117.655395507813,27731.406188964844,124511.9409790039,6613.6395263671875,17012051968,15032385536,7862358016,0
200,1740149599448,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0.8014602661132813,0,0.6902618408203125,0.6546478271484375,2.7410354614257813,0,0,0,0,6.917106628417969,0,0,24117.790100097656,27731.864318847656,124512.13806152344,6613.6395263671875,17012051968,15032385536,7861006336,0
199,1740149599648,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.679412841796875,0.43376922607421875,0.4745941162109375,0.6388931274414063,3.77093505859375,0.5668716430664063,1.3050384521484375,0.7645645141601563,0.9224319458007813,0.39438629150390625,0.858551025390625,0.482574462890625,24117.915161132813,27732.237548828125,124512.27410888672,6613.6395263671875,17012051968,15032385536,7860543488,0
200,1740149599848,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.5046844482421875,1.4233779907226563,1.459716796875,2.125823974609375,11.283775329589844,1.7357406616210938,4.911827087402344,1.72650146484375,2.0995712280273438,2.587249755859375,1.7112197875976563,1.3766098022460938,24118.048400878906,27732.69366455078,124512.47662353516,6613.64404296875,17012051968,15032385536,7860838400,0
200,1740149600049,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,0,0,0.2150726318359375,1.1167144775390625,0,0,0,0,0,0,24118.17303466797,27733.0078125,124512.55090332031,6613.64404296875,17012051968,15032385536,7860097024,0
200,1740149600249,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,8.694305419921875,3.3249969482421875,3.5934600830078125,3.722412109375,17.85553741455078,3.9005355834960938,5.2793121337890625,2.5421524047851563,2.3739547729492188,13.485404968261719,5.527336120605469,3.3935165405273438,24118.315185546875,27733.821411132813,124513.09149169922,6613.652893066406,17012051968,15032385536,7857483776,0
200,1740149600450,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,0.8271484375,0.9763946533203125,1.8095932006835938,0,0.3197021484375,2.2499771118164063,0,7.143104553222656,0.369537353515625,0,24118.448181152344,27734.265380859375,124513.28747558594,6613.652893066406,17012051968,15032385536,7857188864,0
199,1740149600650,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,19.919464111328125,4.095855712890625,7.447181701660156,2.3452682495117188,28.720726013183594,3.3290328979492188,13.295921325683594,1.406158447265625,7.230499267578125,17.009780883789063,5.782646179199219,2.3206329345703125,24118.617248535156,27735.501525878906,124514.20642089844,6613.6685791015625,17012051968,15032385536,7856553984,0
200,1740149600850,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,56.43119430541992,43.80112838745117,50.19301223754883,44.801761627197266,72.90333557128906,44.33992004394531,54.80428695678711,50.195228576660156,57.1663703918457,35.444908142089844,50.1921272277832,36.45071029663086,24119.028381347656,27739.557739257813,124517.37127685547,6614.116027832031,17012051968,15032385536,7008735232,0
200,1740149601051,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,18.130569458007813,0.6006546020507813,8.296592712402344,20.79442596435547,39.648048400878906,0.440460205078125,9.272941589355469,0.4739532470703125,6.7786865234375,2.1868209838867188,1.933319091796875,1.9041748046875,24119.286987304688,27741.167724609375,124518.35778808594,6614.3797607421875,17012051968,15032385536,6974750720,0
199,1740149601251,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,5.887420654296875,0.6059951782226563,3.2651901245117188,1.609649658203125,2.148193359375,0.7646408081054688,5.763099670410156,1.0705032348632813,2.3926925659179688,1.04376220703125,2.6070175170898438,1.1182479858398438,24119.434326171875,27741.702880859375,124518.61901855469,6614.3909912109375,17012051968,15032385536,6946869248,0
200,1740149601451,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.2448577880859375,1.0869293212890625,2.1298675537109375,1.9579086303710938,2.9254226684570313,2.1174774169921875,0.5828933715820313,4.571678161621094,1.311279296875,7.74322509765625,1.2695770263671875,1.2947463989257813,24119.572265625,27742.191284179688,124518.8558959961,6614.3909912109375,17012051968,15032385536,6941716480,0
200,1740149601652,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.5759811401367188,0.567779541015625,1.05810546875,1.7351455688476563,3.02862548828125,1.2621383666992188,0.760589599609375,0.6617660522460938,0.8936004638671875,0.794281005859375,0.7740631103515625,0.5300521850585938,24119.700317382813,27742.5537109375,124518.97253417969,6614.3909912109375,17012051968,15032385536,6941523968,0
200,1740149601852,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.3217086791992188,0.26186370849609375,0.91455078125,1.0121994018554688,3.229583740234375,1.3393402099609375,7.341957092285156,0.43567657470703125,0.1919403076171875,0.6249160766601563,0.5665359497070313,0.4136962890625,24119.830078125,27742.977661132813,124519.14752197266,6614.395568847656,17012051968,15032385536,6941466624,0
200,1740149602052,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0.35066986083984375,0.20944976806640625,0.229705810546875,0.27005767822265625,2.8493881225585938,0.203369140625,0.479461669921875,0.13582611083984375,0.31500244140625,0.12261199951171875,0.428985595703125,1.3859634399414063,24119.95391845703,27743.297424316406,124519.2299194336,6614.395568847656,17012051968,15032385536,6941048832,0
200,1740149602253,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.4700775146484375,0.334136962890625,1.4431076049804688,1.835235595703125,3.7619094848632813,0.36153411865234375,1.0207290649414063,0.6466140747070313,0.553436279296875,0.8773956298828125,1.0011138916015625,0.49733734130859375,24120.088256835938,27743.717712402344,124519.38525390625,6614.406066894531,17012051968,15032385536,6941376512,0
